date,name student,rating,number rating
2021-12-04,Denis,5,1
2021-12-05,Denis,3,2
2021-12-10,Denis,3,3
2021-12-12,Denis,4,5
2021-12-21,Denis,3,5
2021-12-22,Denis,2,6
2021-12-24,Denis,4,4
2021-12-26,Denis,4,5
2021-12-30,Denis,3,3
2021-12-31,Denis,2,5
2022-01-04,Denis,5,2
2022-01-10,Denis,2,7
2022-01-17,Denis,2,4
2022-01-18,Denis,4,3
2022-01-19,Denis,3,3
2022-01-20,Denis,3,2
2022-01-23,Denis,2,3
2022-01-25,Denis,4,3
2022-02-01,Denis,2,4
2022-02-02,Denis,3,1
2022-02-03,Denis,3,7
2022-02-04,Denis,5,5
2022-02-09,Denis,5,7
2022-02-11,Denis,4,7
2022-02-12,Denis,5,6
2022-02-13,Denis,4,7
2022-02-17,Denis,4,2
2022-02-20,Denis,3,7
2022-02-21,Denis,4,7
2022-02-23,Denis,5,4
2022-02-24,Denis,3,5
2022-02-25,Denis,2,5
2022-03-01,Denis,3,1
2022-03-02,Denis,4,3
2022-03-03,Denis,3,6
2022-03-04,Denis,2,2
2022-03-08,Denis,3,3
2022-03-12,Denis,4,5
2022-03-14,Denis,2,7
2022-03-19,Denis,3,7
2022-03-20,Denis,5,3
2022-03-21,Denis,4,4
2022-03-22,Denis,2,3
2022-03-25,Denis,2,3
2022-03-28,Denis,3,5
2022-04-03,Denis,2,4
2022-04-06,Denis,3,7
2022-04-11,Denis,5,7
2022-04-20,Denis,4,4
2022-04-24,Denis,5,4
2022-04-27,Denis,5,2
2022-04-30,Denis,3,1
2022-05-01,Denis,2,7
2022-05-05,Denis,4,7
2022-05-07,Denis,2,2
2022-05-09,Denis,3,6
2022-05-14,Denis,4,5
2022-05-18,Denis,3,5
2022-05-20,Denis,4,4
2022-05-21,Denis,2,2
2022-05-22,Denis,4,7
2022-05-24,Denis,4,7
2022-05-30,Denis,4,2
2022-06-03,Denis,4,4
2022-06-05,Denis,3,3
2022-06-09,Denis,4,6
2022-06-10,Denis,3,1
2022-06-13,Denis,5,4
2022-06-15,Denis,2,6
2022-06-22,Denis,3,7
2022-06-23,Denis,4,4
2022-06-28,Denis,4,3
2022-07-03,Denis,3,3
2022-07-05,Denis,2,5
2022-07-06,Denis,3,5
2022-07-15,Denis,3,5
2022-07-16,Denis,2,5
2022-07-17,Denis,5,3
2022-07-25,Denis,2,1
2022-07-31,Denis,2,6
2022-08-04,Denis,4,6
2022-08-05,Denis,3,2
2022-08-11,Denis,5,2
2022-08-14,Denis,3,5
2022-08-15,Denis,3,7
2022-08-21,Denis,5,2
2022-08-25,Denis,5,5
2022-08-27,Denis,4,4
2022-08-28,Denis,3,2
2022-08-30,Denis,4,3
2022-09-02,Denis,3,5
2022-09-04,Denis,4,4
2022-09-05,Denis,3,3
2022-09-06,Denis,3,6
2022-09-07,Denis,4,1
2022-09-10,Denis,5,6
2022-09-11,Denis,4,3
2022-09-16,Denis,4,4
2022-09-17,Denis,3,7
2022-09-18,Denis,3,4
2022-09-27,Denis,2,6
2022-10-01,Denis,2,5
2022-10-04,Denis,2,3
2022-10-18,Denis,2,6
2022-10-24,Denis,4,4
2022-11-05,Denis,3,5
2022-11-06,Denis,3,5
2022-11-10,Denis,2,2
2022-11-11,Denis,2,4
2022-11-20,Denis,5,4
2022-11-24,Denis,4,6
2022-11-25,Denis,5,7
2022-11-29,Denis,3,2
2022-12-02,Denis,5,6
2022-12-03,Denis,2,6
2022-12-07,Denis,4,7
2022-12-09,Denis,5,5
2022-12-10,Denis,3,5
2022-12-14,Denis,4,6
2022-12-17,Denis,2,5
2022-12-18,Denis,5,1
2022-12-19,Denis,3,5
2022-12-20,Denis,4,3
2022-12-22,Denis,3,7
2022-12-28,Denis,3,5
2023-01-04,Denis,3,7
2023-01-11,Denis,4,4
2023-01-17,Denis,5,6
2023-01-20,Denis,2,5
2023-01-21,Denis,3,3
2023-01-23,Denis,5,7
2023-01-25,Denis,2,7
2023-01-26,Denis,2,2
2023-01-30,Denis,3,3
2023-01-31,Denis,4,5
2023-02-09,Denis,4,2
2023-02-15,Denis,3,7
2023-02-18,Denis,4,2
2023-02-20,Denis,3,4
2023-02-25,Denis,2,3
2023-02-26,Denis,3,7
2023-03-04,Denis,2,5
2023-03-08,Denis,2,3
2023-03-09,Denis,2,1
2023-03-11,Denis,5,6
2023-03-13,Denis,4,6
2023-03-14,Denis,3,3
2023-03-23,Denis,3,4
2023-03-24,Denis,2,2
2023-04-01,Denis,2,3
2023-04-04,Denis,5,7
2023-04-05,Denis,2,1
2023-04-09,Denis,4,2
2023-04-10,Denis,3,7
2023-04-12,Denis,5,4
2023-04-13,Denis,3,2
2023-04-16,Denis,3,7
2023-04-18,Denis,5,7
2023-04-20,Denis,2,3
2023-04-23,Denis,5,7
2023-04-24,Denis,2,6
2023-04-28,Denis,4,4
2023-05-02,Denis,4,1
2023-05-05,Denis,5,5
2023-05-08,Denis,4,6
2023-05-20,Denis,3,5
2023-05-22,Denis,5,7
2023-05-25,Denis,4,2
2023-05-26,Denis,3,1
2023-05-28,Denis,5,7
2023-05-29,Denis,2,1
2023-06-02,Denis,5,7
2023-06-03,Denis,2,4
2023-06-06,Denis,4,4
2023-06-07,Denis,3,3
2023-06-09,Denis,3,3
2023-06-14,Denis,2,3
2023-06-28,Denis,5,1
2023-06-29,Denis,2,1
2023-07-05,Denis,3,5
2023-07-06,Denis,2,6
2023-07-07,Denis,5,4
2023-07-12,Denis,5,4
2023-07-14,Denis,5,3
2023-07-16,Denis,5,2
2023-07-17,Denis,4,7
2023-07-19,Denis,2,3
2023-07-25,Denis,3,3
2023-07-26,Denis,4,7
2023-07-29,Denis,4,2
2023-08-02,Denis,5,6
2023-08-03,Denis,2,6
2023-08-07,Denis,3,1
2023-08-10,Denis,2,1
2023-08-13,Denis,3,7
2023-08-24,Denis,4,4
2023-08-25,Denis,4,1
2023-08-26,Denis,5,3
2023-09-04,Denis,5,7
2023-09-07,Denis,2,6
2023-09-10,Denis,5,5
2023-09-13,Denis,3,4
2023-09-15,Denis,2,1
2023-09-19,Denis,2,3
2023-09-21,Denis,3,4
2023-09-26,Denis,4,6
2023-09-29,Denis,4,6
2023-10-02,Denis,3,5
2023-10-09,Denis,2,5
2023-10-10,Denis,5,3
2023-10-12,Denis,5,5
2023-10-13,Denis,2,2
2023-10-14,Denis,5,3
2023-10-22,Denis,5,4
2023-10-26,Denis,3,3
2023-10-27,Denis,5,7
2023-10-29,Denis,5,4
2023-10-30,Denis,3,3
2023-10-31,Denis,2,7
2023-11-01,Denis,2,4
2023-11-02,Denis,3,7
2023-11-05,Denis,2,1
2023-11-08,Denis,5,5
2023-11-10,Denis,2,3
2023-11-16,Denis,3,6
2023-11-20,Denis,4,5
2023-11-22,Denis,2,5
2023-11-24,Denis,3,4
2023-11-26,Denis,2,7
2023-11-27,Denis,5,7
2023-12-04,Denis,5,6
2023-12-06,Denis,4,3
2023-12-07,Denis,5,2
2023-12-11,Denis,4,5
2023-12-12,Denis,5,4
2023-12-13,Denis,4,6
2023-12-16,Denis,4,5
2023-12-24,Denis,3,3
2023-12-26,Denis,2,1
2023-12-29,Denis,4,4
2023-12-30,Denis,2,1
2023-12-31,Denis,4,6
2024-01-02,Denis,2,4
2024-01-03,Denis,5,3
2024-01-09,Denis,5,6
2024-01-10,Denis,5,3
2024-01-13,Denis,2,2
2024-01-15,Denis,2,1
2024-01-16,Denis,5,4
2024-01-20,Denis,5,4
2024-01-21,Denis,5,6
2024-01-22,Denis,2,3
2024-01-26,Denis,4,1
2024-01-31,Denis,5,7
2024-02-01,Denis,4,7
2024-02-03,Denis,2,3
2024-02-08,Denis,5,7
2024-02-09,Denis,5,7
2024-02-11,Denis,2,4
2024-02-16,Denis,5,7
2024-02-20,Denis,2,2
2024-02-22,Denis,2,5
2024-02-26,Denis,3,5
2024-02-27,Denis,5,4
2024-03-02,Denis,5,7
2024-03-05,Denis,5,5
2024-03-08,Denis,2,5
2024-03-09,Denis,4,5
2024-03-11,Denis,5,4
2024-03-14,Denis,5,1
2024-03-21,Denis,3,5
2024-03-26,Denis,3,1
2024-03-30,Denis,4,6
2024-03-31,Denis,5,7
2024-04-02,Denis,5,5
2024-04-03,Denis,2,3
2024-04-04,Denis,5,6
2024-04-07,Denis,5,2
2024-04-10,Denis,2,5
2024-04-11,Denis,2,1
2024-04-16,Denis,2,3
2024-04-17,Denis,2,2
2024-04-22,Denis,3,1
2024-04-23,Denis,5,2
2024-04-30,Denis,5,6
2024-05-01,Denis,5,1
2024-05-02,Denis,2,1
2024-05-05,Denis,5,3
2024-05-07,Denis,4,6
2024-05-08,Denis,3,3
2024-05-17,Denis,5,2
2024-05-18,Denis,2,7
2024-05-19,Denis,3,7
2024-05-21,Denis,4,2
2024-05-24,Denis,4,3
2024-05-25,Denis,2,3
2024-05-26,Denis,3,6
2024-06-02,Denis,2,7
2024-06-05,Denis,4,2
2024-06-07,Denis,5,6
2024-06-10,Denis,4,4
2024-06-16,Denis,4,4
2024-06-20,Denis,4,4
2024-06-22,Denis,3,2
2024-06-27,Denis,5,7
2024-07-04,Denis,5,1
2024-07-09,Denis,3,2
2024-07-11,Denis,5,2
2024-07-14,Denis,4,5
2024-07-15,Denis,2,3
2024-07-16,Denis,2,4
2024-07-17,Denis,4,1
2024-07-21,Denis,3,5
2024-07-26,Denis,2,6
2024-07-30,Denis,2,1
2024-08-01,Denis,3,7
2024-08-05,Denis,3,2
2024-08-11,Denis,3,1
2024-08-13,Denis,3,1
2024-08-15,Denis,2,5
2024-08-16,Denis,2,4
2024-08-24,Denis,4,3
2024-08-26,Denis,2,1
2024-09-01,Denis,5,7
2024-09-03,Denis,3,1
2024-09-10,Denis,5,4
2024-09-13,Denis,2,3
2024-09-15,Denis,4,3
2024-09-27,Denis,5,2
2024-09-30,Denis,4,7
2024-10-01,Denis,5,2
2024-10-02,Denis,3,3
2024-10-04,Denis,3,1
2024-10-05,Denis,5,1
2024-10-09,Denis,3,2
2024-10-12,Denis,4,6
2024-10-16,Denis,3,2
2024-10-18,Denis,5,7
2024-10-19,Denis,3,6
2024-10-20,Denis,3,2
2024-10-29,Denis,3,6
2024-11-01,Denis,3,1
2024-11-10,Denis,5,2
2024-11-11,Denis,5,1
2024-11-13,Denis,5,6
2024-11-14,Denis,2,3
2024-11-19,Denis,2,6
2024-11-21,Denis,2,4
2024-11-27,Denis,4,3
2024-11-29,Denis,3,1
2024-12-01,Denis,4,1
2024-12-02,Denis,5,6
2024-12-04,Denis,2,1
2024-12-06,Denis,4,5
2024-12-11,Denis,5,3
2024-12-15,Denis,2,1
2024-12-17,Denis,5,7
2024-12-18,Denis,2,2
2024-12-21,Denis,5,3
2024-12-26,Denis,3,7
2024-12-27,Denis,4,5
2024-12-29,Denis,3,4
2024-12-30,Denis,3,2
2025-01-06,Denis,3,4
2025-01-08,Denis,3,4
2025-01-09,Denis,2,3
2025-01-10,Denis,3,1
2025-01-11,Denis,3,2
2025-01-12,Denis,2,3
2025-01-14,Denis,4,3
2025-01-16,Denis,4,6
2025-01-19,Denis,5,3
2025-01-23,Denis,3,6
2025-01-24,Denis,5,2
2025-01-27,Denis,3,5
2025-01-30,Denis,4,5
2025-01-31,Denis,5,7
2025-02-03,Denis,5,2
2025-02-04,Denis,2,1
2025-02-08,Denis,2,7
2025-02-09,Denis,5,1
2025-02-10,Denis,2,7
2025-02-15,Denis,5,2
2025-02-16,Denis,4,1
2025-02-17,Denis,5,1
2025-02-19,Denis,5,2
2025-02-21,Denis,4,7
2025-02-24,Denis,3,6
2025-02-26,Denis,2,2
2025-03-04,Denis,5,7
2025-03-07,Denis,2,4
2025-03-15,Denis,5,4
2025-03-21,Denis,5,1
2025-04-01,Denis,5,4
2025-04-02,Denis,2,5
2025-04-03,Denis,4,7
2025-04-08,Denis,3,7
2025-04-11,Denis,5,1
2025-04-20,Denis,2,1
2025-04-25,Denis,5,6
2025-05-07,Denis,4,5
2025-05-09,Denis,4,6
2025-05-16,Denis,2,5
2025-05-19,Denis,4,4
2025-05-30,Denis,5,6
2025-05-31,Denis,5,4
2025-06-02,Denis,4,1
2025-06-03,Denis,5,7
2025-06-05,Denis,5,5
2025-06-07,Denis,5,1
2025-06-08,Denis,5,6
2025-06-16,Denis,4,2
2025-06-23,Denis,3,1
2025-06-24,Denis,4,1
2025-06-25,Denis,4,6
2025-06-26,Denis,5,3
2025-06-27,Denis,3,1
2025-06-28,Denis,3,1
2025-06-29,Denis,2,4
2025-06-30,Denis,4,3
2025-07-08,Denis,4,2
2025-07-11,Denis,5,6
2025-07-12,Denis,2,6
2025-07-15,Denis,3,5
2025-07-30,Denis,5,4
2025-07-31,Denis,4,6
2025-08-01,Denis,3,4
2025-08-02,Denis,2,4
2025-08-03,Denis,3,4
2025-08-04,Denis,2,6
2025-08-08,Denis,3,1
2025-08-12,Denis,3,2
2025-08-16,Denis,2,6
2025-08-18,Denis,5,4
2025-08-20,Denis,2,1
2025-08-22,Denis,5,7
2025-08-23,Denis,2,1
2025-08-30,Denis,4,7
2025-09-01,Denis,5,7
2025-09-12,Denis,4,1
2025-09-14,Denis,2,7
2025-09-15,Denis,2,1
2025-09-16,Denis,3,5
2025-09-19,Denis,4,5
2025-09-26,Denis,4,6
2025-10-01,Denis,4,6
2025-10-02,Denis,5,7
2025-10-03,Denis,5,4
2025-10-09,Denis,5,3
2025-10-11,Denis,3,2
2025-10-12,Denis,2,6
2025-10-15,Denis,4,5
2025-10-16,Denis,2,1
2025-10-22,Denis,3,6
2025-10-25,Denis,5,3
2025-10-26,Denis,5,6
2025-10-27,Denis,2,7
2025-10-29,Denis,4,5
2025-11-02,Denis,3,2
2025-11-09,Denis,5,7
2025-11-11,Denis,4,6
2025-11-16,Denis,3,4
2025-11-21,Denis,3,2
2025-11-23,Denis,3,2
2025-11-27,Denis,5,2
2025-12-04,Denis,4,1
2025-12-05,Denis,5,2
2025-12-06,Denis,5,2
2025-12-11,Denis,4,1
2025-12-13,Denis,3,1
2025-12-16,Denis,3,3
2025-12-19,Denis,4,7
2025-12-31,Denis,4,4
2026-01-01,Denis,3,1
2026-01-11,Denis,2,7
2026-01-13,Denis,3,6
2026-01-19,Denis,4,5
2026-01-20,Denis,4,3
2026-01-22,Denis,5,6
2026-01-24,Denis,5,6
2026-01-25,Denis,2,1
2026-01-28,Denis,2,1
2026-02-01,Denis,5,2
2026-02-06,Denis,2,6
2026-02-07,Denis,2,4
2026-02-08,Denis,2,3
2026-02-09,Denis,4,4
2026-02-10,Denis,5,3
2026-02-12,Denis,2,2
2026-02-13,Denis,2,3
2026-02-14,Denis,4,5
2026-02-21,Denis,2,3
2026-02-27,Denis,2,3
2026-03-02,Denis,2,3
2026-03-04,Denis,5,7
2026-03-06,Denis,5,7
2026-03-07,Denis,3,4
2026-03-19,Denis,3,2
2026-03-23,Denis,4,5
2026-03-24,Denis,5,3
2026-03-30,Denis,4,3
2026-04-07,Denis,4,6
2026-04-11,Denis,5,6
2026-04-12,Denis,4,5
2026-04-13,Denis,4,2
2026-04-17,Denis,2,2
2026-04-20,Denis,3,5
2026-04-21,Denis,5,3
2026-04-22,Denis,5,3
2026-04-25,Denis,4,1
2026-05-01,Denis,3,5
2026-05-04,Denis,5,1
2026-05-05,Denis,4,3
2026-05-08,Denis,3,2
2026-05-09,Denis,4,1
2026-05-11,Denis,5,7
2026-05-16,Denis,4,4
2026-05-21,Denis,3,5
2026-05-24,Denis,2,6
2026-05-27,Denis,4,7
2026-05-30,Denis,3,2
2026-05-31,Denis,4,7
2026-06-01,Denis,2,4
2026-06-09,Denis,5,1
2026-06-11,Denis,5,1
2026-06-12,Denis,5,2
2026-06-14,Denis,3,7
2026-06-15,Denis,3,6
2026-06-20,Denis,4,2
2026-06-21,Denis,5,3
2026-06-23,Denis,4,7
2026-06-26,Denis,4,4
2026-06-27,Denis,4,4
2026-06-30,Denis,5,4
2026-07-01,Denis,4,2
2026-07-03,Denis,5,6
2026-07-05,Denis,4,7
2026-07-08,Denis,5,2
2026-07-10,Denis,5,5
2026-07-18,Denis,5,6
2026-07-22,Denis,5,6
2026-07-23,Denis,4,3
2026-07-24,Denis,3,3
2026-07-27,Denis,3,4
2026-07-29,Denis,4,2
2026-07-31,Denis,4,7
2026-08-11,Denis,2,5
2026-08-12,Denis,2,6
2026-08-14,Denis,3,4
2026-08-15,Denis,2,4
2026-08-16,Denis,2,4
2026-08-18,Denis,3,5
2026-08-20,Denis,4,2
2026-08-21,Denis,3,2
2026-08-22,Denis,5,4
2026-08-23,Denis,3,3
2026-08-24,Denis,4,3
2026-08-26,Denis,5,2
2026-09-01,Denis,5,2
2026-09-06,Denis,2,7
2026-09-07,Denis,5,2
2026-09-09,Denis,2,2
2026-09-11,Denis,4,4
2026-09-14,Denis,4,3
2026-09-17,Denis,3,6
2026-09-19,Denis,5,5
2026-09-21,Denis,4,4
2026-09-22,Denis,4,4
2026-09-27,Denis,4,5
2026-09-29,Denis,2,1
2026-10-02,Denis,2,4
2026-10-04,Denis,4,3
2026-10-05,Denis,5,4
2026-10-10,Denis,4,4
2026-10-11,Denis,5,7
2026-10-13,Denis,3,4
2026-10-14,Denis,5,2
2026-10-16,Denis,3,1
2026-10-17,Denis,3,7
2026-10-21,Denis,3,4
2026-10-27,Denis,3,7
2026-10-29,Denis,5,3
2026-11-02,Denis,2,1
2026-11-03,Denis,5,7
2026-11-07,Denis,5,1
2026-11-08,Denis,5,3
2026-11-15,Denis,2,5
2026-11-16,Denis,4,7
2026-11-17,Denis,3,7
2026-11-22,Denis,4,4
2026-11-24,Denis,4,1
2026-11-28,Denis,3,5
2026-12-03,Denis,2,7
2026-12-04,Denis,3,4
2026-12-05,Denis,2,2
2026-12-06,Denis,2,1
2026-12-08,Denis,3,3
2026-12-10,Denis,4,1
2026-12-13,Denis,3,5
2026-12-17,Denis,4,4
2026-12-20,Denis,3,3
2026-12-25,Denis,5,6
2026-12-28,Denis,4,1
2026-12-31,Denis,3,5
2027-01-01,Denis,3,6
2027-01-06,Denis,3,7
2027-01-07,Denis,4,3
2027-01-08,Denis,5,7
2027-01-18,Denis,3,2
2027-01-21,Denis,5,4
2027-01-23,Denis,2,6
2027-01-24,Denis,4,7
2027-01-26,Denis,3,7
2027-01-29,Denis,4,1
2027-01-31,Denis,3,1
2027-02-01,Denis,5,6
2027-02-05,Denis,5,2
2027-02-07,Denis,2,6
2027-02-12,Denis,4,1
2027-02-13,Denis,3,7
2027-02-16,Denis,3,2
2027-02-17,Denis,4,5
2027-02-18,Denis,5,7
2027-02-23,Denis,4,6
2027-02-24,Denis,5,2
2027-02-28,Denis,3,4
2027-03-07,Denis,4,6
2027-03-08,Denis,3,5
2027-03-15,Denis,4,2
2027-03-20,Denis,3,2
2027-03-23,Denis,4,1
2027-03-28,Denis,4,7
2027-03-31,Denis,4,7
2027-04-01,Denis,5,6
2027-04-03,Denis,4,1
2027-04-09,Denis,2,5
2027-04-10,Denis,5,4
2027-04-11,Denis,2,6
2027-04-12,Denis,3,3
2027-04-13,Denis,4,1
2027-04-14,Denis,2,3
2027-04-15,Denis,4,3
2027-04-18,Denis,2,1
2027-04-23,Denis,3,4
2027-04-25,Denis,5,1
2027-04-28,Denis,4,6
2027-05-02,Denis,3,2
2027-05-05,Denis,5,3
2027-05-06,Denis,2,2
2027-05-07,Denis,3,2
2027-05-09,Denis,3,3
2027-05-10,Denis,5,5
2027-05-11,Denis,3,2
2027-05-20,Denis,3,7
2027-05-29,Denis,3,6
2027-06-05,Denis,5,6
2027-06-06,Denis,5,1
2027-06-08,Denis,5,2
2027-06-11,Denis,5,6
2027-06-12,Denis,2,1
2027-06-13,Denis,2,5
2027-06-14,Denis,4,4
2027-06-16,Denis,3,7
2027-06-17,Denis,3,3
2027-06-19,Denis,2,5
2027-06-23,Denis,2,3
2027-06-25,Denis,5,2
2027-06-29,Denis,4,1
2027-06-30,Denis,3,6
2027-07-01,Denis,2,7
2027-07-03,Denis,2,5
2027-07-10,Denis,5,6
2027-07-18,Denis,4,1
